paper_id,track,threshold,entity_type,match_mode,prediction_count,gold_count,tp,fp,fn,precision,recall,f1
drq_v2,nadiyah_repaired,0.5,Method,exact,11,14,8,3,6,0.727273,0.571429,0.64
drq_v2,nadiyah_repaired,0.5,Method,overlap,11,14,8,3,6,0.727273,0.571429,0.64
drq_v2,nadiyah_repaired,0.5,Dataset,exact,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.5,Dataset,overlap,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.5,Task,exact,3,2,1,2,1,0.333333,0.5,0.4
drq_v2,nadiyah_repaired,0.5,Task,overlap,3,2,2,1,0,0.666667,1.0,0.8
drq_v2,nadiyah_repaired,0.5,overall,exact,14,17,9,5,8,0.642857,0.529412,0.580645
drq_v2,nadiyah_repaired,0.5,overall,overlap,14,17,10,4,7,0.714286,0.588235,0.645161
drq_v2,nadiyah_repaired,0.7,Method,exact,11,14,8,3,6,0.727273,0.571429,0.64
drq_v2,nadiyah_repaired,0.7,Method,overlap,11,14,8,3,6,0.727273,0.571429,0.64
drq_v2,nadiyah_repaired,0.7,Dataset,exact,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.7,Dataset,overlap,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.7,Task,exact,2,2,0,2,2,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.7,Task,overlap,2,2,1,1,1,0.5,0.5,0.5
drq_v2,nadiyah_repaired,0.7,overall,exact,13,17,8,5,9,0.615385,0.470588,0.533333
drq_v2,nadiyah_repaired,0.7,overall,overlap,13,17,9,4,8,0.692308,0.529412,0.6
drq_v2,nadiyah_repaired,0.9,Method,exact,9,14,8,1,6,0.888889,0.571429,0.695652
drq_v2,nadiyah_repaired,0.9,Method,overlap,9,14,8,1,6,0.888889,0.571429,0.695652
drq_v2,nadiyah_repaired,0.9,Dataset,exact,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.9,Dataset,overlap,0,1,0,0,1,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.9,Task,exact,2,2,0,2,2,0.0,0.0,0.0
drq_v2,nadiyah_repaired,0.9,Task,overlap,2,2,1,1,1,0.5,0.5,0.5
drq_v2,nadiyah_repaired,0.9,overall,exact,11,17,8,3,9,0.727273,0.470588,0.571429
drq_v2,nadiyah_repaired,0.9,overall,overlap,11,17,9,2,8,0.818182,0.529412,0.642857
drq_v2,reference,n/a,Method,exact,14,14,14,0,0,1.0,1.0,1.0
drq_v2,reference,n/a,Method,overlap,14,14,14,0,0,1.0,1.0,1.0
drq_v2,reference,n/a,Dataset,exact,1,1,1,0,0,1.0,1.0,1.0
drq_v2,reference,n/a,Dataset,overlap,1,1,1,0,0,1.0,1.0,1.0
drq_v2,reference,n/a,Task,exact,3,2,2,1,0,0.666667,1.0,0.8
drq_v2,reference,n/a,Task,overlap,3,2,2,1,0,0.666667,1.0,0.8
drq_v2,reference,n/a,overall,exact,18,17,17,1,0,0.944444,1.0,0.971429
drq_v2,reference,n/a,overall,overlap,18,17,17,1,0,0.944444,1.0,0.971429
siga,nadiyah_repaired,0.5,Method,exact,10,9,4,6,5,0.4,0.444444,0.421053
siga,nadiyah_repaired,0.5,Method,overlap,10,9,5,5,4,0.5,0.555556,0.526316
siga,nadiyah_repaired,0.5,Dataset,exact,2,5,2,0,3,1.0,0.4,0.571429
siga,nadiyah_repaired,0.5,Dataset,overlap,2,5,2,0,3,1.0,0.4,0.571429
siga,nadiyah_repaired,0.5,Task,exact,3,1,0,3,1,0.0,0.0,0.0
siga,nadiyah_repaired,0.5,Task,overlap,3,1,0,3,1,0.0,0.0,0.0
siga,nadiyah_repaired,0.5,overall,exact,15,15,6,9,9,0.4,0.4,0.4
siga,nadiyah_repaired,0.5,overall,overlap,15,15,7,8,8,0.466667,0.466667,0.466667
siga,nadiyah_repaired,0.7,Method,exact,8,9,4,4,5,0.5,0.444444,0.470588
siga,nadiyah_repaired,0.7,Method,overlap,8,9,4,4,5,0.5,0.444444,0.470588
siga,nadiyah_repaired,0.7,Dataset,exact,2,5,2,0,3,1.0,0.4,0.571429
siga,nadiyah_repaired,0.7,Dataset,overlap,2,5,2,0,3,1.0,0.4,0.571429
siga,nadiyah_repaired,0.7,Task,exact,1,1,0,1,1,0.0,0.0,0.0
siga,nadiyah_repaired,0.7,Task,overlap,1,1,0,1,1,0.0,0.0,0.0
siga,nadiyah_repaired,0.7,overall,exact,11,15,6,5,9,0.545455,0.4,0.461538
siga,nadiyah_repaired,0.7,overall,overlap,11,15,6,5,9,0.545455,0.4,0.461538
siga,nadiyah_repaired,0.9,Method,exact,6,9,3,3,6,0.5,0.333333,0.4
siga,nadiyah_repaired,0.9,Method,overlap,6,9,3,3,6,0.5,0.333333,0.4
siga,nadiyah_repaired,0.9,Dataset,exact,1,5,1,0,4,1.0,0.2,0.333333
siga,nadiyah_repaired,0.9,Dataset,overlap,1,5,1,0,4,1.0,0.2,0.333333
